Year,sampling event,Sampling date,GFV ,Sample,GPS sampling  pt ID,POINT_X,POINT_Y,pH,TA,brix,bunch wt,Mean berry wt,berries/bunch,Colour per berry Wt,Phenolic per berry Wt,Colour per berry ,Phenolic per berry ,,,,,,,,,,,,,
2015,1,14/01/2015,2414,1,101,286331.6678,6236797.359,2.724,16.579,12.100,121.55,1.153,105,0.187,1.156,0.214,1.324,,,,,,,,,,,,,
2015,1,14/01/2015,2414,2,102,286382.3564,6236810.08,2.685,16.699,12.100,158.68,1.139,139,0.204,1.221,0.243,1.456,,,,,,,,,,,,,
2015,1,14/01/2015,2414,3,103,286425.7071,6236820.957,2.789,15.729,12.400,148.42,1.268,117,0.249,1.142,0.332,1.523,,,,,,,,,,,,,
2015,1,14/01/2015,2414,4,104,286473.0686,6236833.115,2.801,15.304,12.400,143.55,1.392,103,0.218,1.111,0.293,1.495,,,,,,,,,,,,,
2015,1,14/01/2015,2414,5,105,286583.1325,6236861.221,2.695,22.389,10.700,100.64,1.023,98,0.109,1.126,0.116,1.194,,,,,,,,,,,,,
2015,1,14/01/2015,2414,6,106,286630.5814,6236873.269,2.744,25.789,11.900,96.30,0.976,99,0.134,1.153,0.131,1.131,,,,,,,,,,,,,
2015,1,14/01/2015,2414,7,107,286667.3947,6236882.283,2.710,19.413,12.000,134.20,1.254,107,0.191,1.059,0.237,1.314,,,,,,,,,,,,,
2015,1,14/01/2015,2414,8,108,286729.3558,6236898.052,2.725,18.421,11.900,133.35,1.259,106,0.233,1.169,0.290,1.452,,,,,,,,,,,,,
2015,1,14/01/2015,2414,9,109,286759.2511,6236905.663,2.647,24.089,10.600,162.64,1.190,137,0.110,1.172,0.132,1.411,,,,,,,,,,,,,
2015,1,14/01/2015,2414,10,110,286779.1056,6236872.822,2.706,20.068,11.600,96.89,1.245,78,0.202,1.186,0.246,1.445,,,,,,,,,,,,,
2015,1,14/01/2015,2414,11,111,286715.9112,6236857.227,2.921,15.527,12.600,135.90,1.455,93,0.286,1.125,0.421,1.653,,,,,,,,,,,,,
2015,1,14/01/2015,2414,12,112,286684.4059,6236848.81,2.798,16.699,12.500,159.47,1.421,112,0.250,1.047,0.353,1.474,,,,,,,,,,,,,
2015,1,14/01/2015,2414,13,113,286560.5904,6236816.882,2.667,19.980,10.700,148.14,1.145,129,0.191,1.166,0.203,1.241,,,,,,,,,,,,,
2015,1,14/01/2015,2414,14,114,286511.8153,6236804.904,2.796,16.721,12.600,117.11,1.528,77,0.307,1.097,0.498,1.780,,,,,,,,,,,,,
2015,1,14/01/2015,2414,15,115,286471.3125,6236794.462,2.855,14.312,12.700,68.75,1.463,47,0.280,1.046,0.403,1.508,,,,,,,,,,,,,
2015,1,14/01/2015,2414,16,116,286427.9493,6236783.53,2.841,15.381,12.000,124.59,1.380,90,0.215,1.143,0.298,1.584,,,,,,,,,,,,,
2015,1,14/01/2015,2414,17,117,286393.0339,6236775.362,2.776,14.879,12.400,134.22,1.147,117,0.299,1.277,0.349,1.492,,,,,,,,,,,,,
2015,1,14/01/2015,2414,18,118,286338.5126,6236761.34,2.833,40.385,12.400,141.82,1.268,112,0.313,1.115,0.405,1.441,,,,,,,,,,,,,
2015,1,14/01/2015,2414,19,119,286298.3522,6236750.694,2.718,17.996,11.000,126.46,1.109,114,0.109,1.247,0.117,1.341,,,,,,,,,,,,,
2015,1,14/01/2015,2414,20,120,286249.7345,6236701.628,2.773,17.139,12.600,100.64,1.248,81,0.245,1.167,0.315,1.504,,,,,,,,,,,,,
2015,1,14/01/2015,2414,21,121,286307.5703,6236716.284,2.743,16.992,11.300,119.83,1.318,91,0.180,1.159,0.246,1.580,,,,,,,,,,,,,
2015,1,14/01/2015,2414,22,122,286406.6271,6236741.494,2.773,15.234,12.500,119.86,1.319,91,0.261,1.217,0.350,1.633,,,,,,,,,,,,,
2015,1,14/01/2015,2414,23,123,286479.6763,6236759.309,2.763,17.713,11.900,97.93,1.331,74,0.270,1.216,0.359,1.617,,,,,,,,,,,,,
2015,1,14/01/2015,2414,24,124,286515.0331,6236769.212,2.772,16.862,12.500,102.84,1.382,74,0.262,1.092,0.370,1.544,,,,,,,,,,,,,
2015,1,14/01/2015,2414,25,125,286569.4951,6236782.458,2.728,21.397,12.100,113.23,1.145,99,0.197,1.213,0.239,1.471,,,,,,,,,,,,,
2015,1,14/01/2015,2414,26,126,286605.7897,6236790.952,2.744,19.271,11.700,81.67,1.379,59,0.189,1.095,0.266,1.537,,,,,,,,,,,,,
2015,1,14/01/2015,2414,27,127,286646.191,6236801.386,2.752,17.432,11.300,170.05,1.335,127,0.159,1.166,0.206,1.510,,,,,,,,,,,,,
2015,1,14/01/2015,2414,28,128,286674.0582,6236808.941,2.786,16.296,12.300,123.91,1.482,84,0.272,1.075,0.394,1.560,,,,,,,,,,,,,
2015,1,14/01/2015,2414,29,129,286713.8093,6236818.907,2.789,19.130,11.900,81.02,1.243,65,0.179,1.200,0.227,1.516,,,,,,,,,,,,,
2015,1,14/01/2015,2414,30,130,286782.2593,6236836.514,2.737,19.189,12.200,79.63,1.237,64,0.203,1.309,0.249,1.607,,,,,,,,,,,,,
2015,2,21/01/2015,2549,1,201,286334.9087,6236798.065,2.828,17.942,14.400,71.13,1.048,68,0.495,1.248,0.522,1.316,,,,,,,,,,,,,
2015,2,21/01/2015,2549,2,202,286384.4436,6236810.776,2.866,13.689,14.700,94.97,1.293,73,0.513,1.201,0.668,1.563,,,,,,,,,,,,,
2015,2,21/01/2015,2549,3,203,286429.6035,6236822.041,2.898,12.415,15.300,135.47,1.075,126,0.525,1.164,0.581,1.288,,,,,,,,,,,,,
2015,2,21/01/2015,2549,4,204,286476.9232,6236833.933,2.957,14.388,15.100,96.85,1.309,74,0.489,1.110,0.629,1.428,,,,,,,,,,,,,
2015,2,21/01/2015,2549,5,205,286585.0044,6236861.353,2.878,18.232,14.300,118.14,1.277,93,0.513,1.063,0.685,1.419,,,,,,,,,,,,,
2015,2,21/01/2015,2549,6,206,286632.4785,6236873.105,2.955,15.193,15.800,106.37,1.209,88,0.607,1.199,0.750,1.483,,,,,,,,,,,,,
2015,2,21/01/2015,2549,7,207,286668.986,6236882.289,2.955,16.061,15.300,123.35,1.594,77,0.635,1.195,1.008,1.898,,,,,,,,,,,,,
2015,2,21/01/2015,2549,8,208,286731.551,6236898.47,3.002,13.543,15.900,123.48,1.451,85,0.719,1.136,1.040,1.644,,,,,,,,,,,,,
2015,2,21/01/2015,2549,9,209,286760.8583,6236905.851,2.959,16.748,15.500,88.33,1.503,59,0.647,1.082,0.975,1.630,,,,,,,,,,,,,
2015,2,21/01/2015,2549,10,210,286780.0176,6236873.78,2.911,16.206,15.450,112.12,1.285,87,0.574,1.205,0.761,1.597,,,,,,,,,,,,,
2015,2,21/01/2015,2549,11,211,286717.284,6236857.768,3.079,13.124,16.900,161.10,1.678,96,0.745,1.042,1.214,1.698,,,,,,,,,,,,,
2015,2,21/01/2015,2549,12,212,286685.739,6236849.881,3.055,12.024,17.300,111.41,1.643,68,0.924,1.107,1.539,1.844,,,,,,,,,,,,,
2015,2,21/01/2015,2549,13,213,286561.9434,6236818.71,2.949,15.583,14.600,121.10,1.231,98,0.407,1.031,0.534,1.355,,,,,,,,,,,,,
2015,2,21/01/2015,2549,14,214,286512.8931,6236806.364,3.056,12.437,16.100,134.31,1.636,82,0.700,0.968,1.140,1.577,,,,,,,,,,,,,
2015,2,21/01/2015,2549,15,215,286472.9715,6236795.432,3.000,12.719,16.500,123.01,1.617,76,0.767,1.110,1.272,1.841,,,,,,,,,,,,,
2015,2,21/01/2015,2549,16,216,286429.1441,6236784.857,3.004,11.592,16.500,122.42,1.591,77,0.718,1.076,1.142,1.711,,,,,,,,,,,,,
2015,2,21/01/2015,2549,17,217,286394.4354,6236775.656,2.996,12.408,16.700,76.72,1.483,52,0.702,1.015,1.049,1.517,,,,,,,,,,,,,
2015,2,21/01/2015,2549,18,218,286340.0302,6236762.837,3.027,11.854,16.700,106.09,1.392,76,0.620,1.068,0.886,1.526,,,,,,,,,,,,,
2015,2,21/01/2015,2549,19,219,286299.4981,6236752.959,2.937,13.153,15.300,112.34,1.479,76,0.519,1.012,0.783,1.529,,,,,,,,,,,,,
2015,2,21/01/2015,2549,20,220,286251.4494,6236703.12,2.992,12.990,15.700,121.27,1.504,81,0.549,1.002,0.887,1.619,,,,,,,,,,,,,
2015,2,21/01/2015,2549,21,221,286308.8375,6236716.93,2.984,12.830,15.100,158.15,1.389,114,0.564,1.089,0.779,1.503,,,,,,,,,,,,,
2015,2,21/01/2015,2549,22,222,286408.5675,6236742.346,2.945,12.444,15.900,108.96,1.517,72,0.691,1.120,1.056,1.713,,,,,,,,,,,,,
2015,2,21/01/2015,2549,23,223,286481.2696,6236760.801,2.988,12.473,16.500,125.76,1.500,84,0.538,1.114,0.795,1.646,,,,,,,,,,,,,
2015,2,21/01/2015,2549,24,224,286517.0437,6236769.685,2.951,13.442,15.900,96.10,1.311,73,0.611,1.093,0.829,1.483,,,,,,,,,,,,,
2015,2,21/01/2015,2549,25,225,286571.06,6236783.363,3.038,15.291,16.700,126.69,1.454,87,0.633,1.160,0.895,1.640,,,,,,,,,,,,,
2015,2,21/01/2015,2549,26,226,286607.6739,6236792.728,2.942,14.397,16.100,123.40,1.542,80,0.578,1.177,0.898,1.829,,,,,,,,,,,,,
2015,2,21/01/2015,2549,27,227,286647.2366,6236802.706,3.011,12.218,16.600,145.83,1.520,96,0.612,1.102,0.915,1.648,,,,,,,,,,,,,
2015,2,21/01/2015,2549,28,228,286675.1234,6236809.805,2.946,14.112,15.800,113.17,1.555,73,0.676,1.058,1.072,1.677,,,,,,,,,,,,,
2015,2,21/01/2015,2549,29,229,286715.4233,6236820.16,3.074,11.301,16.900,166.11,1.493,111,0.771,1.116,1.187,1.719,,,,,,,,,,,,,
2015,2,21/01/2015,2549,30,230,286784.0985,6236837.142,3.014,13.500,17.100,76.75,1.511,51,0.599,1.028,0.918,1.577,,,,,,,,,,,,,
2015,3,29/01/2015,2694,1,301,286333.1185,6236797.725,3.099,8.917,18.800,139.46,1.377,101,1.167,1.267,1.623,1.762,,,,,,,,,,,,,
2015,3,29/01/2015,2694,2,302,286380.0876,6236809.444,3.037,9.263,17.600,104.35,1.462,71,0.871,1.104,1.229,1.558,,,,,,,,,,,,,
2015,3,29/01/2015,2694,3,303,286427.5308,6236821.453,3.127,9.008,19.700,127.30,1.591,80,0.956,1.105,1.478,1.709,,,,,,,,,,,,,
2015,3,29/01/2015,2694,4,304,286475.1333,6236833.101,3.008,10.259,19.600,113.60,1.346,84,0.804,1.037,1.015,1.309,,,,,,,,,,,,,
2015,3,29/01/2015,2694,5,305,286581.383,6236860.506,3.009,12.840,17.900,148.12,1.472,101,0.742,1.131,1.122,1.710,,,,,,,,,,,,,
2015,3,29/01/2015,2694,6,306,286628.4372,6236872.094,3.096,9.569,19.800,84.81,1.325,64,1.040,1.177,1.367,1.548,,,,,,,,,,,,,
2015,3,29/01/2015,2694,7,307,286664.9964,6236881.717,3.004,13.373,18.400,85.54,1.594,54,1.015,1.217,1.688,2.022,,,,,,,,,,,,,
2015,3,29/01/2015,2694,8,308,286726.814,6236896.606,2.991,13.218,17.400,108.16,1.488,73,0.827,1.178,1.221,1.739,,,,,,,,,,,,,
2015,3,29/01/2015,2694,9,309,286756.7195,6236904.654,2.978,14.823,18.000,117.19,1.480,79,0.793,1.158,1.144,1.671,,,,,,,,,,,,,
2015,3,29/01/2015,2694,10,310,286777.2158,6236872.524,2.963,14.325,17.500,105.96,1.439,74,0.951,1.271,1.402,1.872,,,,,,,,,,,,,
2015,3,29/01/2015,2694,11,311,286713.9582,6236856.386,2.934,14.838,17.500,75.56,1.532,49,1.052,1.296,1.629,2.007,,,,,,,,,,,,,
2015,3,29/01/2015,2694,12,312,286682.4259,6236848.891,3.155,11.189,20.200,144.60,1.645,88,1.088,1.180,1.879,2.037,,,,,,,,,,,,,
2015,3,29/01/2015,2694,13,313,286558.5162,6236817.451,3.115,10.336,18.000,162.10,1.688,96,0.873,1.131,1.523,1.974,,,,,,,,,,,,,
2015,3,29/01/2015,2694,14,314,286509.5756,6236804.817,3.186,8.785,19.600,152.19,1.707,89,1.099,1.159,1.918,2.022,,,,,,,,,,,,,
2015,3,29/01/2015,2694,15,315,286469.5856,6236794.46,3.183,8.955,19.600,151.84,1.646,92,1.199,1.195,2.021,2.015,,,,,,,,,,,,,
2015,3,29/01/2015,2694,16,316,286425.5086,6236783.204,2.959,10.510,18.200,127.44,1.464,87,0.972,1.120,1.511,1.743,,,,,,,,,,,,,
2015,3,29/01/2015,2694,17,317,286391.3882,6236775.242,3.091,9.475,19.300,128.82,1.421,91,1.092,1.140,1.522,1.589,,,,,,,,,,,,,
2015,3,29/01/2015,2694,18,318,286336.7565,6236761.4,3.188,8.959,21.400,117.92,1.470,80,1.265,1.249,1.867,1.844,,,,,,,,,,,,,
2015,3,29/01/2015,2694,19,319,286296.3863,6236751.519,3.073,9.714,18.600,159.46,1.509,106,0.800,0.977,1.248,1.523,,,,,,,,,,,,,
2015,3,29/01/2015,2694,20,320,286248.0119,6236701.5,3.052,10.227,19.500,158.26,1.653,96,0.915,1.022,1.627,1.816,,,,,,,,,,,,,
2015,3,29/01/2015,2694,21,321,286305.8538,6236716.023,3.070,9.400,17.200,165.33,1.359,122,0.735,0.951,1.000,1.294,,,,,,,,,,,,,
2015,3,29/01/2015,2694,22,322,286405.3497,6236741.232,2.998,10.155,18.700,123.12,1.427,86,0.900,1.127,1.301,1.628,,,,,,,,,,,,,
2015,3,29/01/2015,2694,23,323,286479.063,6236759.865,3.190,8.904,20.900,116.09,1.664,70,1.209,1.178,2.103,2.049,,,,,,,,,,,,,
2015,3,29/01/2015,2694,24,324,286513.6036,6236768.455,3.097,9.464,19.600,102.94,1.540,67,1.148,1.227,1.752,1.872,,,,,,,,,,,,,
2015,3,29/01/2015,2694,25,325,286567.2335,6236783.208,3.068,12.363,18.900,106.43,1.554,68,0.889,1.177,1.281,1.695,,,,,,,,,,,,,
2015,3,29/01/2015,2694,26,326,286604.5126,6236792.044,3.093,9.862,19.800,80.96,1.528,53,1.209,1.278,1.905,2.013,,,,,,,,,,,,,
2015,3,29/01/2015,2694,27,327,286644.1743,6236801.935,3.144,9.433,20.400,174.02,1.616,108,1.135,1.219,1.868,2.007,,,,,,,,,,,,,
2015,3,29/01/2015,2694,28,328,286672.0268,6236809.119,3.013,10.737,18.400,169.23,1.625,104,0.933,1.150,1.549,1.908,,,,,,,,,,,,,
2015,3,29/01/2015,2694,29,329,286712.1546,6236819.117,3.052,11.454,19.300,111.40,1.630,68,1.074,1.205,1.829,2.051,,,,,,,,,,,,,
2015,3,29/01/2015,2694,30,330,286779.9287,6236836.497,3.094,9.324,19.300,147.51,1.519,97,1.054,1.172,1.607,1.787,,,,,,,,,,,,,
2015,4,4/02/2015,2801,1,401,286330.8353,6236800.453,3.197,8.344,21.900,112.41,1.464,77,1.481,1.401,2.022,1.913,,,,,,,,,,,,,
2015,4,4/02/2015,2801,2,402,286381.563,6236813.217,3.106,9.041,21.000,131.47,1.475,89,1.352,1.292,1.894,1.809,,,,,,,,,,,,,
2015,4,4/02/2015,2801,3,403,286424.9461,6236824.233,3.243,7.873,21.500,157.27,1.474,107,1.379,1.328,1.965,1.892,,,,,,,,,,,,,
2015,4,4/02/2015,2801,4,404,286472.1069,6236836.474,3.201,8.467,22.400,113.04,1.437,79,1.503,1.348,1.967,1.764,,,,,,,,,,,,,
2015,4,4/02/2015,2801,5,405,286581.9441,6236864.046,3.030,11.333,19.900,133.13,1.519,88,1.091,1.178,1.694,1.829,,,,,,,,,,,,,
2015,4,4/02/2015,2801,6,406,286629.1057,6236876.128,3.234,8.112,22.600,111.82,1.218,92,1.514,1.421,1.898,1.782,,,,,,,,,,,,,
2015,4,4/02/2015,2801,7,407,286665.2234,6236885.45,3.163,10.160,21.600,82.75,1.712,48,1.610,1.396,2.725,2.363,,,,,,,,,,,,,
2015,4,4/02/2015,2801,8,408,286728.7831,6236901.316,3.159,9.002,22.100,128.34,1.546,83,1.441,1.318,2.209,2.021,,,,,,,,,,,,,
2015,4,4/02/2015,2801,9,409,286758.4568,6236909.254,3.015,13.122,19.000,141.57,1.750,81,1.135,1.201,1.872,1.981,,,,,,,,,,,,,
2015,4,4/02/2015,2801,10,410,286777.7373,6236876.453,3.211,8.489,21.300,102.43,1.573,65,1.346,1.274,2.150,2.036,,,,,,,,,,,,,
2015,4,4/02/2015,2801,11,411,286714.7878,6236860.658,2.997,14.213,18.800,79.16,1.534,52,1.002,1.231,1.506,1.850,,,,,,,,,,,,,
2015,4,4/02/2015,2801,12,412,286683.4836,6236852.751,2.955,11.958,18.900,91.96,1.526,60,1.091,1.217,1.633,1.821,,,,,,,,,,,,,
2015,4,4/02/2015,2801,13,413,286559.6483,6236821.288,3.036,12.406,18.900,136.45,1.456,94,1.050,1.198,1.561,1.781,,,,,,,,,,,,,
2015,4,4/02/2015,2801,14,414,286511.0781,6236809.036,3.067,9.112,21.500,122.89,1.525,81,1.402,1.292,2.249,2.072,,,,,,,,,,,,,
2015,4,4/02/2015,2801,15,415,286470.4077,6236798.377,3.184,8.243,22.000,103.50,1.674,62,1.369,1.308,2.343,2.239,,,,,,,,,,,,,
2015,4,4/02/2015,2801,16,416,286427.2055,6236787.334,3.157,8.071,22.000,106.06,1.533,69,1.457,1.331,2.292,2.094,,,,,,,,,,,,,
2015,4,4/02/2015,2801,17,417,286392.143,6236778.591,3.204,7.786,21.900,138.12,1.437,96,1.341,1.278,2.096,1.998,,,,,,,,,,,,,
2015,4,4/02/2015,2801,18,418,286337.6286,6236765.557,3.261,7.949,22.700,107.07,1.590,67,1.200,1.137,1.903,1.804,,,,,,,,,,,,,
2015,4,4/02/2015,2801,19,419,286297.7189,6236754.795,3.141,8.246,20.800,162.64,1.601,102,1.539,1.371,2.387,2.126,,,,,,,,,,,,,
2015,4,4/02/2015,2801,20,420,286249.0388,6236704.874,3.100,9.063,20.050,159.19,1.300,122,1.099,1.198,1.457,1.588,,,,,,,,,,,,,
2015,4,4/02/2015,2801,21,421,286306.6786,6236719.409,3.124,8.202,21.800,139.23,1.511,92,1.243,1.188,1.795,1.716,,,,,,,,,,,,,
2015,4,4/02/2015,2801,22,422,286406.2451,6236744.835,3.153,8.336,22.000,104.74,1.566,67,1.082,1.192,1.675,1.844,,,,,,,,,,,,,
2015,4,4/02/2015,2801,23,423,286480.1058,6236763.284,3.243,8.084,23.000,117.37,1.611,73,1.377,1.310,2.357,2.242,,,,,,,,,,,,,
2015,4,4/02/2015,2801,24,424,286514.2513,6236772.32,3.252,7.689,21.900,130.22,1.554,84,1.275,1.225,2.038,1.958,,,,,,,,,,,,,
2015,4,4/02/2015,2801,25,425,286568.7711,6236786.211,3.193,8.396,21.700,136.06,1.666,82,1.174,1.122,1.988,1.901,,,,,,,,,,,,,
2015,4,4/02/2015,2801,26,426,286604.8503,6236795.583,3.134,9.797,20.300,147.46,1.629,91,1.097,1.145,1.883,1.966,,,,,,,,,,,,,
2015,4,4/02/2015,2801,27,427,286645.1154,6236806.252,3.195,8.452,21.800,111.39,1.512,74,1.323,1.254,2.034,1.928,,,,,,,,,,,,,
2015,4,4/02/2015,2801,28,428,286673.0482,6236812.604,3.215,8.273,22.200,168.59,1.648,102,1.213,1.229,2.041,2.068,,,,,,,,,,,,,
2015,4,4/02/2015,2801,29,429,286712.8864,6236823.354,3.163,8.730,22.400,132.84,1.645,81,1.277,1.204,2.136,2.013,,,,,,,,,,,,,
2015,4,4/02/2015,2801,30,430,286781.1633,6236840.027,3.255,7.905,22.000,172.92,1.538,112,1.173,1.185,1.790,1.808,,,,,,,,,,,,,
2015,5,10/02/2015,2936,1,501,286329.2673,6236800.442,3.381,6.955,24.600,145.52,1.361,107,1.577,1.410,2.267,2.027,,,,,,,,,,,,,
2015,5,10/02/2015,2936,2,502,286379.361,6236813.509,3.383,6.691,26.400,101.58,1.409,72,1.839,1.604,2.712,2.366,,,,,,,,,,,,,
2015,5,10/02/2015,2936,3,503,286423.3014,6236823.998,3.331,6.857,26.100,108.51,1.320,82,1.684,1.519,2.364,2.133,,,,,,,,,,,,,
2015,5,10/02/2015,2936,4,504,286470.6307,6236836.078,3.163,8.400,24.600,78.19,1.546,51,1.646,1.469,2.583,2.304,,,,,,,,,,,,,
2015,5,10/02/2015,2936,5,505,286580.7183,6236863.748,3.352,7.922,25.300,123.37,1.493,83,1.582,1.323,2.284,1.911,,,,,,,,,,,,,
2015,5,10/02/2015,2936,6,506,286627.7498,6236875.728,3.359,7.317,26.300,51.86,1.066,49,1.626,1.569,1.813,1.749,,,,,,,,,,,,,
2015,5,10/02/2015,2936,7,507,286664.1786,6236885.122,3.180,9.630,23.600,93.77,1.472,64,1.601,1.476,2.417,2.228,,,,,,,,,,,,,
2015,5,10/02/2015,2936,8,508,286727.255,6236901.306,3.269,7.593,25.300,115.34,1.486,78,1.824,1.552,2.765,2.352,,,,,,,,,,,,,
2015,5,10/02/2015,2936,9,509,286756.382,6236908.759,3.299,8.435,25.100,196.95,1.485,133,1.752,1.523,2.702,2.349,,,,,,,,,,,,,
2015,5,10/02/2015,2936,10,510,286775.6488,6236876.021,3.254,8.767,23.000,167.25,1.374,122,1.465,1.300,2.010,1.783,,,,,,,,,,,,,
2015,5,10/02/2015,2936,11,511,286712.7706,6236860.138,3.332,7.278,25.400,103.56,1.619,64,1.697,1.479,2.714,2.366,,,,,,,,,,,,,
2015,5,10/02/2015,2936,12,512,286681.5855,6236852.068,3.204,9.383,23.600,157.48,1.302,121,1.758,1.515,2.222,1.916,,,,,,,,,,,,,
2015,5,10/02/2015,2936,13,513,286557.7862,6236820.924,3.283,7.153,26.100,133.74,1.452,92,1.665,1.510,2.563,2.324,,,,,,,,,,,,,
2015,5,10/02/2015,2936,14,514,286508.8611,6236808.354,3.187,8.365,24.000,108.72,1.308,83,1.622,1.490,2.009,1.845,,,,,,,,,,,,,
2015,5,10/02/2015,2936,15,515,286468.8143,6236798.188,,,,103.58,1.392,74,1.679,1.546,2.376,2.187,,,,,,,,,,,,,
2015,5,10/02/2015,2936,16,516,286424.9532,6236786.993,3.262,6.937,26.200,108.70,1.336,81,2.014,1.748,2.623,2.275,,,,,,,,,,,,,
2015,5,10/02/2015,2936,17,517,286390.2661,6236778.2,3.370,6.809,27.400,159.76,1.236,129,1.984,1.805,2.592,2.358,,,,,,,,,,,,,
2015,5,10/02/2015,2936,18,518,286336.227,6236764.381,3.351,8.407,26.000,134.60,1.351,100,1.442,1.368,1.962,1.862,,,,,,,,,,,,,
2015,5,10/02/2015,2936,19,519,286295.9428,6236754.238,3.256,8.580,25.000,116.87,1.409,83,1.610,1.395,2.344,2.031,,,,,,,,,,,,,
2015,5,10/02/2015,2936,20,520,286247.3869,6236704.482,3.309,7.312,24.000,141.96,1.380,103,1.374,1.392,1.893,1.918,,,,,,,,,,,,,
2015,5,10/02/2015,2936,21,521,286304.891,6236719.092,3.283,6.775,25.400,151.55,1.379,110,1.668,1.532,2.217,2.036,,,,,,,,,,,,,
2015,5,10/02/2015,2936,22,522,286404.3567,6236744.339,3.350,6.758,26.800,116.03,1.503,77,1.685,1.577,2.579,2.415,,,,,,,,,,,,,
2015,5,10/02/2015,2936,23,523,286477.6581,6236762.794,3.362,6.879,27.000,125.89,1.371,92,1.559,1.521,2.163,2.112,,,,,,,,,,,,,
2015,5,10/02/2015,2936,24,524,286512.4997,6236772.04,3.224,7.097,24.100,160.28,1.403,114,1.756,1.478,2.497,2.103,,,,,,,,,,,,,
2015,5,10/02/2015,2936,25,525,286566.225,6236785.849,3.260,7.809,25.000,100.98,1.521,66,1.606,1.392,2.480,2.150,,,,,,,,,,,,,
2015,5,10/02/2015,2936,26,526,286603.2049,6236795.103,3.319,7.157,26.000,162.72,1.444,113,1.661,1.466,2.412,2.129,,,,,,,,,,,,,
2015,5,10/02/2015,2936,27,527,286643.3189,6236805.438,3.402,6.573,26.200,141.54,1.444,98,1.546,1.457,2.358,2.222,,,,,,,,,,,,,
2015,5,10/02/2015,2936,28,528,286671.1301,6236812.263,3.256,7.370,25.200,130.59,1.581,83,1.631,1.336,2.616,2.144,,,,,,,,,,,,,
2015,5,10/02/2015,2936,29,529,286711.5853,6236822.502,3.313,7.112,25.000,202.15,1.644,123,1.583,1.386,2.492,2.181,,,,,,,,,,,,,
